BOROUGH,NEIGHBORHOOD,BUILDING CLASS CATEGORY,TAX CLASS AS OF FINAL ROLL 18/19,BLOCK,LOT,BUILDING CLASS AS OF FINAL ROLL 18/19,ADDRESS,ZIP CODE,RESIDENTIAL UNITS,COMMERCIAL UNITS,TOTAL UNITS,LAND SQUARE FEET,GROSS SQUARE FEET,YEAR BUILT,TAX CLASS AT TIME OF SALE,BUILDING CLASS AT TIME OF SALE,SALE PRICE,SALE DATE,AREA,FINAL_ADDRESS
4,SO. JAMAICA-BAISLEY PARK,01 ONE FAMILY DWELLINGS,1,12226,42,A1,15559 FOCH BLVD,11434.0,1.0,0.0,1.0,2125.0,1581.0,1965.0,1,A1,475000,2019-09-20,queens,15559 FOCH BLVD NYC
4,ROSEDALE,02 TWO FAMILY DWELLINGS,1,13588,18,B2,257-26 145TH AVENUE,11422.0,2.0,0.0,2.0,4000.0,2400.0,1955.0,1,B2,750000,2019-03-11,queens,257-26 145TH AVENUE NYC
4,EAST ELMHURST,01 ONE FAMILY DWELLINGS,1,1426,58,A1,32-21 96TH STREET,11369.0,1.0,0.0,1.0,2000.0,1358.0,1910.0,1,A1,625000,2019-01-16,queens,32-21 96TH STREET NYC
2,BELMONT,07 RENTALS - WALKUP APARTMENTS,2A,3114,41,C3,773 EAST 183 STREET,10460.0,4.0,0.0,4.0,4142.0,3402.0,1931.0,2,C3,925000,2019-03-07,bronx,773 EAST 183 STREET NYC
5,MANOR HEIGHTS,01 ONE FAMILY DWELLINGS,1,700,57,A1,49 LINCOLN STREET,10314.0,1.0,0.0,1.0,4674.0,1224.0,1920.0,1,A1,554000,2019-05-22,statenisland,49 LINCOLN STREET NYC
4,OZONE PARK,03 THREE FAMILY DWELLINGS,1,9019,11,C0,94-10 86TH STREET,11416.0,3.0,0.0,3.0,2800.0,2420.0,1915.0,1,C0,1047659,2019-09-04,queens,94-10 86TH STREET NYC
2,BAYCHESTER,01 ONE FAMILY DWELLINGS,1,4787,61,A2,2842 KINGSLAND AVENUE,10469.0,1.0,0.0,1.0,3555.0,1100.0,1930.0,1,A2,340000,2019-01-09,bronx,2842 KINGSLAND AVENUE NYC
3,CYPRESS HILLS,02 TWO FAMILY DWELLINGS,1,4112,71,B1,54 ELDERT LANE,11208.0,2.0,0.0,2.0,2484.0,2248.0,1905.0,1,B1,863000,2019-02-06,brooklyn,54 ELDERT LANE NYC
4,FLUSHING-NORTH,01 ONE FAMILY DWELLINGS,1,4825,31,A1,30-28 MURRAY LANE,11354.0,1.0,0.0,1.0,2904.0,1824.0,1925.0,1,A1,975000,2019-04-10,queens,30-28 MURRAY LANE NYC
4,QUEENS VILLAGE,01 ONE FAMILY DWELLINGS,1,11099,58,A1,106-04 215TH STREET,11429.0,1.0,0.0,1.0,4400.0,1474.0,1925.0,1,A1,630000,2019-09-23,queens,106-04 215TH STREET NYC
2,THROGS NECK,01 ONE FAMILY DWELLINGS,1,5546,133,A5,748 SWINTON AVENUE,10465.0,1.0,0.0,1.0,2388.0,1120.0,1930.0,1,A5,515000,2019-10-30,bronx,748 SWINTON AVENUE NYC
4,ROSEDALE,01 ONE FAMILY DWELLINGS,1,13641,55,A1,249-45 148TH ROAD,11422.0,1.0,0.0,1.0,2600.0,1224.0,1960.0,1,A1,570000,2019-08-16,queens,249-45 148TH ROAD NYC
3,FLATBUSH-NORTH,01 ONE FAMILY DWELLINGS,1,4797,21,A5,10 PALM COURT,11225.0,1.0,0.0,1.0,1300.0,960.0,1930.0,1,A5,745000,2019-07-09,brooklyn,10 PALM COURT NYC
3,CROWN HEIGHTS,02 TWO FAMILY DWELLINGS,1,1357,6,B9,149 BUFFALO AVENUE,11213.0,2.0,0.0,2.0,2500.0,1800.0,1920.0,1,B9,410000,2019-06-25,brooklyn,149 BUFFALO AVENUE NYC
4,ARVERNE,03 THREE FAMILY DWELLINGS,1,15960,37,C0,466 BEACH 43 STREET,11691.0,3.0,0.0,3.0,3800.0,1280.0,1920.0,1,C0,309232,2019-08-14,queens,466 BEACH 43 STREET NYC
2,THROGS NECK,02 TWO FAMILY DWELLINGS,1,5599,26,B1,256 ROBINSON AVE,10465.0,2.0,0.0,2.0,1967.0,2280.0,1955.0,1,B1,377000,2019-01-02,bronx,256 ROBINSON AVE NYC
5,CONCORD,01 ONE FAMILY DWELLINGS,1,2903,7,A1,736 TARGEE STREET,10304.0,1.0,0.0,1.0,2425.0,1430.0,2005.0,1,A1,656000,2019-10-08,statenisland,736 TARGEE STREET NYC
5,ARDEN HEIGHTS,01 ONE FAMILY DWELLINGS,1,6018,96,A5,23 PRINCETON LANE,10312.0,1.0,0.0,1.0,2068.0,1496.0,1980.0,1,A5,495000,2019-01-15,statenisland,23 PRINCETON LANE NYC
4,RICHMOND HILL,03 THREE FAMILY DWELLINGS,1,9604,50,C0,124-07 109 AVENUE,11420.0,3.0,0.0,3.0,2248.0,2208.0,1925.0,1,C0,820000,2019-10-03,queens,124-07 109 AVENUE NYC
3,BRIGHTON BEACH,02 TWO FAMILY DWELLINGS,1,7262,51,B2,4 BRIGHTON 4 ROAD,11235.0,2.0,0.0,2.0,1506.0,1120.0,1930.0,1,B2,551000,2019-03-29,brooklyn,4 BRIGHTON 4 ROAD NYC
4,RICHMOND HILL,01 ONE FAMILY DWELLINGS,1,9439,43,A9,121-03 95 AVENUE,11419.0,1.0,0.0,1.0,1600.0,980.0,1920.0,1,A9,310000,2019-10-09,queens,121-03 95 AVENUE NYC
2,WAKEFIELD,02 TWO FAMILY DWELLINGS,1,5049,71,B3,4319 BOYD AVENUE,10466.0,2.0,0.0,2.0,2310.0,1802.0,1901.0,1,B3,400000,2019-07-01,bronx,4319 BOYD AVENUE NYC
4,SPRINGFIELD GARDENS,01 ONE FAMILY DWELLINGS,1,12718,23,A5,125-08 DEFOE STREET,11413.0,1.0,0.0,1.0,1920.0,1325.0,1950.0,1,A5,590000,2019-11-08,queens,125-08 DEFOE STREET NYC
2,SOUNDVIEW,02 TWO FAMILY DWELLINGS,1,3775,70,B1,1221 MANOR AVENUE,10472.0,2.0,0.0,2.0,2000.0,1400.0,1930.0,1,B1,733985,2019-12-03,bronx,1221 MANOR AVENUE NYC
2,WAKEFIELD,01 ONE FAMILY DWELLINGS,1,5004,61,A1,4152 BOYD AVENUE,10466.0,1.0,0.0,1.0,2375.0,1309.0,1930.0,1,A1,459000,2019-11-13,bronx,4152 BOYD AVENUE NYC
4,ELMHURST,01 ONE FAMILY DWELLINGS,1,2458,34,A5,51-36 70TH STREET,11377.0,1.0,0.0,1.0,2048.0,1865.0,1950.0,1,A5,795000,2019-12-12,queens,51-36 70TH STREET NYC
2,PELHAM PARKWAY NORTH,01 ONE FAMILY DWELLINGS,1,4353,16,A1,2324 BARNES AVENUE,10467.0,1.0,0.0,1.0,2500.0,1416.0,1940.0,1,A1,585000,2019-07-24,bronx,2324 BARNES AVENUE NYC
5,WESTERLEIGH,01 ONE FAMILY DWELLINGS,1,418,23,A1,176 DICKIE AVENUE,10314.0,1.0,0.0,1.0,3360.0,1402.0,1925.0,1,A1,615000,2019-03-20,statenisland,176 DICKIE AVENUE NYC
4,LAURELTON,01 ONE FAMILY DWELLINGS,1,12940,94,A2,131-28 FRANCIS LEWIS BLVD,11413.0,1.0,0.0,1.0,4000.0,1440.0,1940.0,1,A2,512500,2019-05-20,queens,131-28 FRANCIS LEWIS BLVD NYC
4,FLORAL PARK,01 ONE FAMILY DWELLINGS,1,8815,118,A5,86-39 256TH STREET,11001.0,1.0,0.0,1.0,1600.0,1408.0,1960.0,1,A5,553000,2019-06-28,queens,86-39 256TH STREET NYC
3,EAST NEW YORK,02 TWO FAMILY DWELLINGS,1,4310,15,B1,702 WARWICK ST,11207.0,2.0,0.0,2.0,2600.0,2025.0,1960.0,1,B1,490000,2019-06-28,brooklyn,702 WARWICK ST NYC
4,SPRINGFIELD GARDENS,02 TWO FAMILY DWELLINGS,1,12664,75,B3,188-13 120TH ROAD,11412.0,2.0,0.0,2.0,2600.0,1248.0,1930.0,1,B3,749000,2019-11-22,queens,188-13 120TH ROAD NYC
5,SOUTH BEACH,02 TWO FAMILY DWELLINGS,1,3410,95,B1,9 ANDREWS STREET,10305.0,2.0,0.0,2.0,2500.0,2264.0,1915.0,1,B1,588000,2019-01-15,statenisland,9 ANDREWS STREET NYC
4,ST. ALBANS,01 ONE FAMILY DWELLINGS,1,12657,29,A2,201-13 120TH AVENUE,11412.0,1.0,0.0,1.0,4116.0,1100.0,1930.0,1,A2,570000,2019-07-22,queens,201-13 120TH AVENUE NYC
4,CORONA,03 THREE FAMILY DWELLINGS,1,1991,34,C0,104-66 47TH AVENUE,11368.0,3.0,0.0,3.0,2500.0,2590.0,1915.0,1,C0,1229000,2019-04-05,queens,104-66 47TH AVENUE NYC
5,GREAT KILLS,01 ONE FAMILY DWELLINGS,1,5518,56,A5,288 GETZ AVENUE,10312.0,1.0,0.0,1.0,2850.0,1224.0,1968.0,1,A5,515000,2019-12-19,statenisland,288 GETZ AVENUE NYC
4,ST. ALBANS,02 TWO FAMILY DWELLINGS,1,11021,9,B3,204-01 115TH AVENUE,11412.0,2.0,0.0,2.0,4000.0,1828.0,1940.0,1,B3,612640,2019-05-02,queens,204-01 115TH AVENUE NYC
4,FLORAL PARK,01 ONE FAMILY DWELLINGS,1,8811,3,A9,84-57 266TH STREET,11001.0,1.0,0.0,1.0,2503.0,950.0,1930.0,1,A9,425000,2019-10-16,queens,84-57 266TH STREET NYC
3,FLATBUSH-CENTRAL,02 TWO FAMILY DWELLINGS,1,5087,80,B1,137 MARTENSE STREET,11226.0,2.0,0.0,2.0,2600.0,2096.0,1901.0,1,B1,1465000,2019-10-04,brooklyn,137 MARTENSE STREET NYC
4,BAYSIDE,01 ONE FAMILY DWELLINGS,1,5805,54,A0,23-73 205TH ST,11360.0,1.0,0.0,1.0,4320.0,1086.0,1950.0,1,A0,760000,2019-12-09,queens,23-73 205TH ST NYC
4,FLORAL PARK,02 TWO FAMILY DWELLINGS,1,8761,31,B3,8219 267 STREET,11004.0,2.0,0.0,2.0,4000.0,1626.0,1950.0,1,B3,749000,2019-12-04,queens,8219 267 STREET NYC
5,ROSEBANK,01 ONE FAMILY DWELLINGS,1,3030,46,A5,102 DONLEY AVENUE,10305.0,1.0,0.0,1.0,1700.0,1350.0,2019.0,1,A5,692410,2019-12-11,statenisland,102 DONLEY AVENUE NYC
2,PELHAM GARDENS,01 ONE FAMILY DWELLINGS,1,4482,61,A5,2541 MICKLE AVENUE,10469.0,1.0,0.0,1.0,2000.0,1360.0,1940.0,1,A5,470000,2019-01-09,bronx,2541 MICKLE AVENUE NYC
2,THROGS NECK,02 TWO FAMILY DWELLINGS,1,5501,31,B1,174 KEARNEY AVENUE,10465.0,2.0,0.0,2.0,3981.0,1728.0,1950.0,1,B1,515000,2019-07-02,bronx,174 KEARNEY AVENUE NYC
4,ST. ALBANS,01 ONE FAMILY DWELLINGS,1,12605,26,A5,190-35 118TH ROAD,11412.0,1.0,0.0,1.0,3742.0,1440.0,1960.0,1,A5,373692,2019-01-15,queens,190-35 118TH ROAD NYC
5,SOUTH BEACH,01 ONE FAMILY DWELLINGS,1,3255,44,A1,255 KENSINGTON AVENUE,10305.0,1.0,0.0,1.0,3150.0,2050.0,2005.0,1,A1,560000,2019-09-05,statenisland,255 KENSINGTON AVENUE NYC
4,MIDDLE VILLAGE,02 TWO FAMILY DWELLINGS,1,2874,28,B1,86-40 60TH AVENUE,11373.0,2.0,0.0,2.0,2250.0,2382.0,1960.0,1,B1,973000,2019-02-04,queens,86-40 60TH AVENUE NYC
4,LAURELTON,01 ONE FAMILY DWELLINGS,1,12868,36,A2,231-27 128TH ROAD,11413.0,1.0,0.0,1.0,4300.0,1376.0,1950.0,1,A2,465000,2019-02-21,queens,231-27 128TH ROAD NYC
4,FLUSHING-SOUTH,01 ONE FAMILY DWELLINGS,1,6952,69,A5,71-50 165 STREET,11365.0,1.0,0.0,1.0,3300.0,1886.0,1940.0,1,A5,830000,2019-11-15,queens,71-50 165 STREET NYC
4,FAR ROCKAWAY,01 ONE FAMILY DWELLINGS,1,15592,17,A5,525 JARVIS AVENUE,11691.0,1.0,0.0,1.0,4842.0,2680.0,1985.0,1,A5,475000,2019-02-04,queens,525 JARVIS AVENUE NYC
5,ARDEN HEIGHTS,01 ONE FAMILY DWELLINGS,1,6020,90,A5,159 DOVER GREEN,10312.0,1.0,0.0,1.0,1800.0,1132.0,1970.0,1,A5,554000,2019-08-23,statenisland,159 DOVER GREEN NYC
3,OCEAN HILL,03 THREE FAMILY DWELLINGS,1,1563,119,C0,4 RADDE PL,11233.0,3.0,0.0,3.0,1894.0,2925.0,2005.0,1,C0,1125000,2019-12-06,brooklyn,4 RADDE PL NYC
4,SOUTH JAMAICA,01 ONE FAMILY DWELLINGS,1,11954,74,A1,138-21 LINDEN BOULEVARD,11436.0,1.0,0.0,1.0,1900.0,882.0,1925.0,1,A1,460000,2019-09-11,queens,138-21 LINDEN BOULEVARD NYC
2,FORDHAM,02 TWO FAMILY DWELLINGS,1,3276,133,B2,2611 DECATUR AVENUE,10458.0,2.0,0.0,2.0,950.0,2208.0,2006.0,1,B2,702000,2019-09-20,bronx,2611 DECATUR AVENUE NYC
4,ARVERNE,03 THREE FAMILY DWELLINGS,1,15853,103,C0,211 BEACH 44 STREET,11691.0,3.0,0.0,3.0,3623.0,3042.0,2006.0,1,C0,733000,2019-09-13,queens,211 BEACH 44 STREET NYC
3,FLATBUSH-EAST,03 THREE FAMILY DWELLINGS,1,4902,2,C0,3104 SNYDER AVE,11226.0,3.0,0.0,3.0,1670.0,2000.0,1910.0,1,C0,999000,2019-11-15,brooklyn,3104 SNYDER AVE NYC
2,PELHAM PARKWAY NORTH,01 ONE FAMILY DWELLINGS,1,4457,118,A5,2530 YATES AVENUE,10469.0,1.0,0.0,1.0,1800.0,1296.0,1940.0,1,A5,533000,2019-05-29,bronx,2530 YATES AVENUE NYC
1,HARLEM-EAST,22 STORE BUILDINGS,4,1659,105,K1,203 EAST 109 STREET,10029.0,0.0,1.0,1.0,1817.0,1800.0,1915.0,4,K1,1400000,2019-12-30,manhattan,203 EAST 109 STREET NYC
2,WAKEFIELD,02 TWO FAMILY DWELLINGS,1,5001,62,B3,4259 BRONXWOOD,10466.0,2.0,0.0,2.0,3844.0,1321.0,1932.0,1,B3,375000,2019-03-22,bronx,4259 BRONXWOOD NYC
4,FLUSHING-NORTH,01 ONE FAMILY DWELLINGS,1,4833,19,A2,151-28 27TH AVENUE,11354.0,1.0,0.0,1.0,4000.0,1144.0,1950.0,1,A2,900000,2019-10-02,queens,151-28 27TH AVENUE NYC
2,EAST TREMONT,02 TWO FAMILY DWELLINGS,1,3107,134,B1,822 EAST 178TH STREET,10460.0,2.0,0.0,2.0,1250.0,2000.0,2007.0,1,B1,490000,2019-11-06,bronx,822 EAST 178TH STREET NYC
5,RICHMONDTOWN,01 ONE FAMILY DWELLINGS,1,2271,17,A1,288 NUGENT STREET,10306.0,1.0,0.0,1.0,2000.0,1270.0,1915.0,1,A1,505000,2019-06-19,statenisland,288 NUGENT STREET NYC
4,SOUTH OZONE PARK,02 TWO FAMILY DWELLINGS,1,11657,26,B3,131-17 115TH AVENUE,11420.0,2.0,0.0,2.0,1700.0,1600.0,1935.0,1,B3,1429741,2019-12-04,queens,131-17 115TH AVENUE NYC
5,NEW SPRINGVILLE,01 ONE FAMILY DWELLINGS,1,2389,132,A5,180 TRAVIS AVENUE,10314.0,1.0,0.0,1.0,3105.0,1362.0,1980.0,1,A5,635000,2019-08-21,statenisland,180 TRAVIS AVENUE NYC
4,BROAD CHANNEL,01 ONE FAMILY DWELLINGS,1,15400,82,A1,420 CROSS BAY BLVD,11693.0,1.0,0.0,1.0,2600.0,1777.0,1920.0,1,A1,380000,2019-03-18,queens,420 CROSS BAY BLVD NYC
3,EAST NEW YORK,07 RENTALS - WALKUP APARTMENTS,2A,4030,3,C3,425 JEROME ST,11207.0,4.0,0.0,4.0,2500.0,3239.0,1930.0,2,C3,497250,2019-01-28,brooklyn,425 JEROME ST NYC
3,BROWNSVILLE,03 THREE FAMILY DWELLINGS,1,3567,20,C0,243 GRAFTON STREET,11212.0,3.0,0.0,3.0,2237.0,2901.0,2005.0,1,C0,609369,2019-08-12,brooklyn,243 GRAFTON STREET NYC
3,BROWNSVILLE,01 ONE FAMILY DWELLINGS,1,3856,111,A5,553 CHRISTOPHER AVE,11212.0,1.0,0.0,1.0,1800.0,1116.0,1986.0,1,A5,475000,2019-07-19,brooklyn,553 CHRISTOPHER AVE NYC
4,LAURELTON,01 ONE FAMILY DWELLINGS,1,13179,3,A1,138-56 231ST STREET,11413.0,1.0,0.0,1.0,3400.0,1344.0,1930.0,1,A1,350000,2019-09-20,queens,138-56 231ST STREET NYC
4,FLUSHING-SOUTH,02 TWO FAMILY DWELLINGS,1,6419,26,B1,146-13 REEVES AVENUE,11367.0,2.0,0.0,2.0,1880.0,2100.0,1945.0,1,B1,959000,2019-07-26,queens,146-13 REEVES AVENUE NYC
3,CANARSIE,02 TWO FAMILY DWELLINGS,1,8250,42,B1,10420 AVENUE K,11236.0,2.0,0.0,2.0,1927.0,1585.0,1960.0,1,B1,523600,2019-11-19,brooklyn,10420 AVENUE K NYC
3,GERRITSEN BEACH,01 ONE FAMILY DWELLINGS,1,8826,20,A9,3150 WHITNEY AVENUE,11229.0,1.0,0.0,1.0,2505.0,1078.0,1935.0,1,A9,400000,2019-10-29,brooklyn,3150 WHITNEY AVENUE NYC
4,QUEENS VILLAGE,01 ONE FAMILY DWELLINGS,1,10660,55,A5,89-40 217TH STREET,11427.0,1.0,0.0,1.0,2200.0,1683.0,1950.0,1,A5,440000,2019-06-21,queens,89-40 217TH STREET NYC
4,CORONA,03 THREE FAMILY DWELLINGS,1,1623,3,C0,96-04 45TH AVENUE,11368.0,3.0,0.0,3.0,1800.0,3420.0,2002.0,1,C0,1490000,2019-05-09,queens,96-04 45TH AVENUE NYC
4,FLUSHING-SOUTH,01 ONE FAMILY DWELLINGS,1,6961,5,A5,173-09 73RD AVE,11366.0,1.0,0.0,1.0,3595.0,1296.0,1940.0,1,A5,845000,2019-10-29,queens,173-09 73RD AVE NYC
2,THROGS NECK,02 TWO FAMILY DWELLINGS,1,5544,42,B3,2865 PHILIP AVENUE,10465.0,2.0,0.0,2.0,2200.0,1641.0,1950.0,1,B3,503000,2019-02-21,bronx,2865 PHILIP AVENUE NYC
4,SOUTH JAMAICA,01 ONE FAMILY DWELLINGS,1,12142,20,A1,109-66 153RD STREET,11433.0,1.0,0.0,1.0,2300.0,1260.0,1920.0,1,A1,500000,2019-08-08,queens,109-66 153RD STREET NYC
3,MADISON,02 TWO FAMILY DWELLINGS,1,7308,76,B3,1933 EAST 29TH STREET,11229.0,2.0,0.0,2.0,1855.0,1785.0,1930.0,1,B3,780000,2019-06-10,brooklyn,1933 EAST 29TH STREET NYC
3,FLATBUSH-EAST,01 ONE FAMILY DWELLINGS,1,4999,39,A9,1464 BROOKLYN AVENUE,11210.0,1.0,0.0,1.0,2000.0,1202.0,1925.0,1,A9,600000,2019-10-28,brooklyn,1464 BROOKLYN AVENUE NYC
2,SOUNDVIEW,07 RENTALS - WALKUP APARTMENTS,2A,3748,68,C3,1113 CROES AVENUE,10472.0,4.0,0.0,4.0,2500.0,3280.0,1927.0,2,C3,796000,2019-08-14,bronx,1113 CROES AVENUE NYC
2,BAYCHESTER,02 TWO FAMILY DWELLINGS,1,4934,51,B1,1200 EAST 233 STREET,10466.0,2.0,0.0,2.0,2422.0,2280.0,1967.0,1,B1,680000,2019-05-01,bronx,1200 EAST 233 STREET NYC
4,ST. ALBANS,01 ONE FAMILY DWELLINGS,1,12403,79,A1,115-21 172ND STREET,11434.0,1.0,0.0,1.0,3200.0,1264.0,1925.0,1,A1,530000,2019-05-07,queens,115-21 172ND STREET NYC
5,GRANT CITY,01 ONE FAMILY DWELLINGS,1,3306,18,B2,38 SEAVIEW AVENUE,10304.0,2.0,0.0,2.0,3330.0,2904.0,2018.0,1,A1,945954,2019-06-25,statenisland,38 SEAVIEW AVENUE NYC
3,EAST NEW YORK,01 ONE FAMILY DWELLINGS,1,4050,140,A5,991 BLAKE AVENUE,11208.0,1.0,0.0,1.0,1800.0,1116.0,1989.0,1,A5,525000,2019-04-23,brooklyn,991 BLAKE AVENUE NYC
5,TRAVIS,01 ONE FAMILY DWELLINGS,1,2776,87,A5,52 MEREDITH AVENUE,10314.0,1.0,0.0,1.0,2360.0,1350.0,2003.0,1,A5,500000,2019-12-19,statenisland,52 MEREDITH AVENUE NYC
3,FLATBUSH-EAST,02 TWO FAMILY DWELLINGS,1,7580,23,B9,1057 EAST 34TH STREET,11210.0,2.0,0.0,2.0,2500.0,2760.0,1915.0,1,B9,825000,2019-06-14,brooklyn,1057 EAST 34TH STREET NYC
4,ELMHURST,01 ONE FAMILY DWELLINGS,1,1836,138,A5,49-26 87TH STREET,11373.0,1.0,0.0,1.0,1245.0,1094.0,1930.0,1,A5,700000,2019-07-29,queens,49-26 87TH STREET NYC
2,WILLIAMSBRIDGE,02 TWO FAMILY DWELLINGS,1,4847,32,B1,801A EAST 222 STREET,10467.0,2.0,0.0,2.0,2128.0,2768.0,1960.0,1,B1,620000,2019-03-19,bronx,801A EAST 222 STREET NYC
3,BOROUGH PARK,02 TWO FAMILY DWELLINGS,1,5633,52,B1,1121 49TH STREET,11219.0,2.0,0.0,2.0,2000.0,2176.0,1901.0,1,B1,1115000,2019-10-02,brooklyn,1121 49TH STREET NYC
2,HUNTS POINT,02 TWO FAMILY DWELLINGS,1,2766,134,B1,636 FAILE STREET,10474.0,2.0,0.0,2.0,2067.0,2480.0,1915.0,1,B1,625000,2019-04-10,bronx,636 FAILE STREET NYC
2,BAYCHESTER,02 TWO FAMILY DWELLINGS,1,4981,21,B1,4056A EDSON AVENUE,10466.0,2.0,0.0,2.0,2050.0,2050.0,2007.0,1,B1,656000,2019-05-31,bronx,4056A EDSON AVENUE NYC
5,ELTINGVILLE,01 ONE FAMILY DWELLINGS,1,5708,18,A2,60 RENSSELAER AVENUE,10312.0,1.0,0.0,1.0,4000.0,1248.0,1966.0,1,A2,705000,2019-12-31,statenisland,60 RENSSELAER AVENUE NYC
4,GLENDALE,02 TWO FAMILY DWELLINGS,1,3598,21,B1,74-27 64TH PLACE,11385.0,2.0,0.0,2.0,2000.0,1920.0,1910.0,1,B1,812617,2019-06-25,queens,74-27 64TH PLACE NYC
2,BAYCHESTER,02 TWO FAMILY DWELLINGS,1,4921,67,B1,3644 PALMER AVENUE,10466.0,2.0,0.0,2.0,2508.0,2310.0,1960.0,1,B1,406614,2019-12-20,bronx,3644 PALMER AVENUE NYC
4,JAMAICA ESTATES,02 TWO FAMILY DWELLINGS,1,9965,30,B2,86-84 188TH STREET,11423.0,2.0,0.0,2.0,4000.0,1788.0,1940.0,1,B2,740000,2019-08-21,queens,86-84 188TH STREET NYC
5,WOODROW,01 ONE FAMILY DWELLINGS,1,6926,6,A2,480 FOSTER ROAD,10309.0,1.0,0.0,1.0,4000.0,1945.0,1970.0,1,A2,620000,2019-08-26,statenisland,480 FOSTER ROAD NYC
3,EAST NEW YORK,02 TWO FAMILY DWELLINGS,1,3827,24,B1,555 BRADFORD STREET,11207.0,2.0,0.0,2.0,1440.0,1980.0,2007.0,1,B1,820000,2019-03-14,brooklyn,555 BRADFORD STREET NYC
4,FLUSHING-NORTH,01 ONE FAMILY DWELLINGS,1,5535,23,A1,45-27 193RD STREET,11358.0,1.0,0.0,1.0,3400.0,1926.0,1940.0,1,A1,980000,2019-07-03,queens,45-27 193RD STREET NYC
3,BAY RIDGE,01 ONE FAMILY DWELLINGS,1,5990,63,A5,549 81STREET,11209.0,1.0,0.0,1.0,2275.0,2187.0,1915.0,1,A5,870000,2019-12-16,brooklyn,549 81STREET NYC
3,OCEAN PARKWAY-SOUTH,03 THREE FAMILY DWELLINGS,1,7152,74,C0,2237 WEST STREET,11223.0,3.0,0.0,3.0,4000.0,3476.0,1930.0,1,C0,900000,2019-07-24,brooklyn,2237 WEST STREET NYC
