BOROUGH,NEIGHBORHOOD,BUILDING CLASS CATEGORY,TAX CLASS AS OF FINAL ROLL 18/19,BLOCK,LOT,BUILDING CLASS AS OF FINAL ROLL 18/19,ADDRESS,ZIP CODE,RESIDENTIAL UNITS,COMMERCIAL UNITS,TOTAL UNITS,LAND SQUARE FEET,GROSS SQUARE FEET,YEAR BUILT,TAX CLASS AT TIME OF SALE,BUILDING CLASS AT TIME OF SALE,SALE PRICE,SALE DATE,AREA,FINAL_ADDRESS
4,ARVERNE,02 TWO FAMILY DWELLINGS,1,15954,9,B2,416 BEACH 38 STREET,11691.0,2.0,0.0,2.0,3000.0,1728.0,1931.0,1,B2,376500,2019-12-20,queens,416 BEACH 38 STREET NYC
4,FAR ROCKAWAY,01 ONE FAMILY DWELLINGS,1,15687,76,A2,32-33 BAYWATER COURT,11691.0,1.0,0.0,1.0,4000.0,2366.0,1970.0,1,A2,490000,2019-10-30,queens,32-33 BAYWATER COURT NYC
4,COLLEGE POINT,02 TWO FAMILY DWELLINGS,1,4264,58,B9,25-59 124TH STREET,11354.0,2.0,0.0,2.0,2840.0,1920.0,1925.0,1,B9,900000,2019-11-06,queens,25-59 124TH STREET NYC
2,BAYCHESTER,02 TWO FAMILY DWELLINGS,1,4763,17,B1,3141 MICKLE AVENUE,10469.0,2.0,0.0,2.0,2522.0,1568.0,1950.0,1,B1,502000,2019-10-04,bronx,3141 MICKLE AVENUE NYC
3,OCEAN HILL,02 TWO FAMILY DWELLINGS,1,1446,59,B1,1909 BERGEN STREET,11233.0,2.0,0.0,2.0,2143.0,2060.0,2003.0,1,B1,979000,2019-09-03,brooklyn,1909 BERGEN STREET NYC
4,ASTORIA,01 ONE FAMILY DWELLINGS,1,517,13,A5,12-27 31 AVENUE,11106.0,1.0,0.0,1.0,1667.0,1120.0,1901.0,1,A5,953000,2019-09-20,queens,12-27 31 AVENUE NYC
5,CASTLETON CORNERS,01 ONE FAMILY DWELLINGS,1,337,52,A1,194 UTTER AVENUE,10314.0,1.0,0.0,1.0,4000.0,1998.0,1920.0,1,A1,608000,2019-10-03,statenisland,194 UTTER AVENUE NYC
3,FLATBUSH-EAST,01 ONE FAMILY DWELLINGS,1,4976,54,A9,635 EAST 42ND STREET,11203.0,1.0,0.0,1.0,2000.0,1392.0,1925.0,1,A9,675343,2019-03-26,brooklyn,635 EAST 42ND STREET NYC
3,FLATBUSH-EAST,03 THREE FAMILY DWELLINGS,1,4773,70,C0,677 EAST 52 STREET,11203.0,3.0,0.0,3.0,3000.0,3432.0,2014.0,1,C0,1220000,2019-12-10,brooklyn,677 EAST 52 STREET NYC
4,FLORAL PARK,01 ONE FAMILY DWELLINGS,1,8774,35,A0,262-12 83RD AVENUE,11004.0,1.0,0.0,1.0,4000.0,1368.0,1950.0,1,A0,720000,2019-02-01,queens,262-12 83RD AVENUE NYC
3,OLD MILL BASIN,03 THREE FAMILY DWELLINGS,1,8400,6,C0,2077 EAST 57TH STREET,11234.0,3.0,0.0,3.0,2267.0,2768.0,1970.0,1,C0,961472,2019-10-17,brooklyn,2077 EAST 57TH STREET NYC
5,WOODROW,02 TWO FAMILY DWELLINGS,1,7094,47,B9,102 BERKSHIRE LANE,10309.0,2.0,0.0,2.0,4233.0,2545.0,2018.0,1,B9,844129,2019-10-08,statenisland,102 BERKSHIRE LANE NYC
3,DYKER HEIGHTS,01 ONE FAMILY DWELLINGS,1,6320,72,A5,1117 85TH STREET,11228.0,1.0,0.0,1.0,2217.0,1464.0,1910.0,1,A5,1160000,2019-06-18,brooklyn,1117 85TH STREET NYC
3,MANHATTAN BEACH,01 ONE FAMILY DWELLINGS,1,8740,92,A9,217 BEAUMONT STREET,11235.0,1.0,0.0,1.0,4000.0,2802.0,2004.0,1,A9,1800000,2019-05-24,brooklyn,217 BEAUMONT STREET NYC
2,KINGSBRIDGE HTS/UNIV HTS,02 TWO FAMILY DWELLINGS,1,3234,89,B3,2268 HAMPDEN PLACE,10468.0,2.0,0.0,2.0,2119.0,2200.0,1910.0,1,B3,430950,2019-05-15,bronx,2268 HAMPDEN PLACE NYC
4,ROCKAWAY PARK,02 TWO FAMILY DWELLINGS,1,16233,40,B2,131 BEACH 123 STREET,11694.0,2.0,0.0,2.0,3300.0,3780.0,1975.0,1,B2,930000,2019-10-03,queens,131 BEACH 123 STREET NYC
4,BAYSIDE,01 ONE FAMILY DWELLINGS,1,6206,47,A2,40-36 204 STREET,11361.0,1.0,0.0,1.0,4000.0,1978.0,1965.0,1,A2,650000,2019-05-22,queens,40-36 204 STREET NYC
4,ELMHURST,02 TWO FAMILY DWELLINGS,1,2469,30,B3,51-54 HILLYER STREET,11373.0,2.0,0.0,2.0,2199.0,1977.0,1940.0,1,B3,1242265,2019-11-18,queens,51-54 HILLYER STREET NYC
2,PELHAM PARKWAY NORTH,01 ONE FAMILY DWELLINGS,1,4463,30,A5,2558 STEDMAN PLACE,10469.0,1.0,0.0,1.0,2250.0,1584.0,1960.0,1,A5,515000,2019-02-15,bronx,2558 STEDMAN PLACE NYC
2,BEDFORD PARK/NORWOOD,01 ONE FAMILY DWELLINGS,1,3299,36,A1,293 EAST 201ST STREET,10458.0,1.0,0.0,1.0,2150.0,1176.0,1901.0,1,A1,550000,2019-08-23,bronx,293 EAST 201ST STREET NYC
5,PORT RICHMOND,07 RENTALS - WALKUP APARTMENTS,2A,1039,71,C3,264 JEWETT AVENUE,10302.0,4.0,0.0,4.0,3025.0,2656.0,1931.0,2,C3,585000,2019-09-27,statenisland,264 JEWETT AVENUE NYC
4,MIDDLE VILLAGE,03 THREE FAMILY DWELLINGS,1,2919,31,C0,60-20 82ND STREET,11379.0,3.0,0.0,3.0,2068.0,3149.0,2004.0,1,C0,1705000,2019-10-24,queens,60-20 82ND STREET NYC
4,ASTORIA,02 TWO FAMILY DWELLINGS,1,804,35,B9,23-18 38TH STREET,11105.0,2.0,0.0,2.0,2370.0,2600.0,1950.0,1,B9,1400000,2019-12-04,queens,23-18 38TH STREET NYC
4,EAST ELMHURST,02 TWO FAMILY DWELLINGS,1,1663,18,B2,27-24 CURTIS STREET,11369.0,2.0,0.0,2.0,3000.0,1800.0,2005.0,1,B2,864686,2019-06-18,queens,27-24 CURTIS STREET NYC
5,BULLS HEAD,01 ONE FAMILY DWELLINGS,1,1605,99,A5,138 ROMAN AVENUE,10314.0,1.0,0.0,1.0,2538.0,1304.0,1965.0,1,A5,545000,2019-03-28,statenisland,138 ROMAN AVENUE NYC
5,GREAT KILLS,01 ONE FAMILY DWELLINGS,1,5489,124,A2,183 CORTELYOU AVENUE,10312.0,1.0,0.0,1.0,3800.0,1680.0,1970.0,1,A2,620000,2019-01-30,statenisland,183 CORTELYOU AVENUE NYC
3,FLATBUSH-EAST,01 ONE FAMILY DWELLINGS,1,7637,63,A9,1268 EAST 38 STREET,11210.0,1.0,0.0,1.0,1800.0,1176.0,1930.0,1,A9,600000,2019-12-10,brooklyn,1268 EAST 38 STREET NYC
4,BELLEROSE,01 ONE FAMILY DWELLINGS,1,8562,54,A5,80-35 249 STREET,11426.0,1.0,0.0,1.0,1620.0,1224.0,1940.0,1,A5,585000,2019-12-12,queens,80-35 249 STREET NYC
4,QUEENS VILLAGE,01 ONE FAMILY DWELLINGS,1,11225,47,A2,225-42 112TH ROAD,11429.0,1.0,0.0,1.0,4000.0,1314.0,1940.0,1,A2,440000,2019-08-30,queens,225-42 112TH ROAD NYC
3,EAST NEW YORK,02 TWO FAMILY DWELLINGS,1,4305,25,B1,738 HENDRIX STREET,11207.0,2.0,0.0,2.0,3060.0,2808.0,2005.0,1,B1,795000,2019-11-27,brooklyn,738 HENDRIX STREET NYC
4,ELMHURST,01 ONE FAMILY DWELLINGS,1,2458,34,A5,51-36 70TH STREET,11377.0,1.0,0.0,1.0,2048.0,1865.0,1950.0,1,A5,795000,2019-12-12,queens,51-36 70TH STREET NYC
4,FLUSHING-NORTH,01 ONE FAMILY DWELLINGS,1,4930,27,A1,169-09 33RD AVENUE,11358.0,1.0,0.0,1.0,4280.0,1332.0,1930.0,1,A1,600000,2019-08-05,queens,169-09 33RD AVENUE NYC
5,CONCORD,02 TWO FAMILY DWELLINGS,1,2890,20,B3,281 ODER AVENUE,10304.0,2.0,0.0,2.0,2500.0,1452.0,1901.0,1,B3,350000,2019-03-21,statenisland,281 ODER AVENUE NYC
3,FLATBUSH-EAST,01 ONE FAMILY DWELLINGS,1,4733,28,A1,614 EAST 49TH STREET,11203.0,1.0,0.0,1.0,3000.0,1109.0,1925.0,1,A1,409000,2019-11-08,brooklyn,614 EAST 49TH STREET NYC
4,FLUSHING-NORTH,01 ONE FAMILY DWELLINGS,1,5587,60,A0,174-19 GLADWIN AVENUE,11365.0,1.0,0.0,1.0,4000.0,1045.0,1945.0,1,A0,750000,2019-05-06,queens,174-19 GLADWIN AVENUE NYC
2,WAKEFIELD,01 ONE FAMILY DWELLINGS,1,5078,58,A1,4625 CARPENTER AVENUE,10470.0,1.0,0.0,1.0,3325.0,2116.0,1930.0,1,A1,470000,2019-10-04,bronx,4625 CARPENTER AVENUE NYC
3,BUSHWICK,02 TWO FAMILY DWELLINGS,1,3285,80,B3,1157 GREENE AVENUE,11221.0,2.0,0.0,2.0,1850.0,2970.0,1901.0,1,B3,860421,2019-09-20,brooklyn,1157 GREENE AVENUE NYC
5,ARDEN HEIGHTS,01 ONE FAMILY DWELLINGS,1,5741,92,A5,262 ILYSSA WAY,10312.0,1.0,0.0,1.0,560.0,1553.0,1996.0,1,A5,335000,2019-07-16,statenisland,262 ILYSSA WAY NYC
4,SOUTH OZONE PARK,02 TWO FAMILY DWELLINGS,1,11622,3,B3,117-06 111TH AVENUE,11420.0,2.0,0.0,2.0,3100.0,2450.0,1935.0,1,B3,850000,2019-02-15,queens,117-06 111TH AVENUE NYC
2,SCHUYLERVILLE/PELHAM BAY,01 ONE FAMILY DWELLINGS,1,4199,56,A1,3130 ARNOW PLACE,10461.0,1.0,0.0,1.0,3250.0,1216.0,1930.0,1,A1,550000,2019-01-25,bronx,3130 ARNOW PLACE NYC
4,GLENDALE,03 THREE FAMILY DWELLINGS,1,3830,56,C0,78-38 80TH STREET,11385.0,3.0,0.0,3.0,3227.0,2265.0,1901.0,1,C0,980000,2019-04-23,queens,78-38 80TH STREET NYC
4,SO. JAMAICA-BAISLEY PARK,02 TWO FAMILY DWELLINGS,1,12370,11,B3,168-22 119TH AVENUE,11434.0,2.0,0.0,2.0,3517.0,1720.0,1920.0,1,B3,760000,2019-07-31,queens,168-22 119TH AVENUE NYC
3,FLATBUSH-CENTRAL,02 TWO FAMILY DWELLINGS,1,5223,86,B1,25 STEPHENS CT,11226.0,2.0,0.0,2.0,2115.0,2168.0,1901.0,1,B1,445000,2019-06-28,brooklyn,25 STEPHENS CT NYC
4,FOREST HILLS,02 TWO FAMILY DWELLINGS,1,3264,33,B9,101-07 ASCAN AVENUE,11375.0,2.0,0.0,2.0,1800.0,1836.0,1935.0,1,B9,1250000,2019-10-18,queens,101-07 ASCAN AVENUE NYC
5,GREAT KILLS,01 ONE FAMILY DWELLINGS,1,5299,42,A5,26 CRISPI LANE,10308.0,1.0,0.0,1.0,2052.0,1660.0,2005.0,1,A5,430060,2019-10-21,statenisland,26 CRISPI LANE NYC
4,MIDDLE VILLAGE,01 ONE FAMILY DWELLINGS,1,2916,14,A5,60-34 83RD STREET,11379.0,1.0,0.0,1.0,1800.0,1224.0,1940.0,1,A5,575000,2019-09-13,queens,60-34 83RD STREET NYC
4,SOUTH OZONE PARK,01 ONE FAMILY DWELLINGS,1,11756,18,A1,121-36 133 STREET,11420.0,1.0,0.0,1.0,2000.0,910.0,1920.0,1,A1,525000,2019-03-22,queens,121-36 133 STREET NYC
2,PELHAM PARKWAY NORTH,01 ONE FAMILY DWELLINGS,1,4480,59,A5,2561 EASTCHESTER ROAD,10469.0,1.0,0.0,1.0,2500.0,2178.0,1950.0,1,A5,580000,2019-03-07,bronx,2561 EASTCHESTER ROAD NYC
4,COLLEGE POINT,01 ONE FAMILY DWELLINGS,1,4038,32,A1,117-18 12TH AVENUE,11356.0,1.0,0.0,1.0,2100.0,2025.0,1930.0,1,A1,680000,2019-12-06,queens,117-18 12TH AVENUE NYC
5,NEW DORP,01 ONE FAMILY DWELLINGS,1,4052,8,A5,252A TITUS AVENUE,10306.0,1.0,0.0,1.0,2312.0,1242.0,2000.0,1,A5,449000,2019-01-24,statenisland,252A TITUS AVENUE NYC
3,FLATBUSH-CENTRAL,02 TWO FAMILY DWELLINGS,1,5057,3,B1,657 ROGERS AVENUE,11226.0,2.0,0.0,2.0,1260.0,3000.0,1910.0,1,B1,650000,2019-07-03,brooklyn,657 ROGERS AVENUE NYC
2,WILLIAMSBRIDGE,01 ONE FAMILY DWELLINGS,1,4666,35,A1,719 EAST 218 STREET,10467.0,1.0,0.0,1.0,2856.0,1482.0,1910.0,1,A1,338000,2019-05-03,bronx,719 EAST 218 STREET NYC
4,CAMBRIA HEIGHTS,01 ONE FAMILY DWELLINGS,1,12761,14,A2,118-18 225TH STREET,11411.0,1.0,0.0,1.0,4000.0,880.0,1945.0,1,A2,526500,2019-10-23,queens,118-18 225TH STREET NYC
3,BUSHWICK,02 TWO FAMILY DWELLINGS,1,3420,15,B2,18 COVERT ST,11207.0,2.0,0.0,2.0,2000.0,2280.0,1920.0,1,B2,920000,2019-03-08,brooklyn,18 COVERT ST NYC
4,FLUSHING-NORTH,01 ONE FAMILY DWELLINGS,1,6425,51,A5,148-38 60TH AVENUE,11355.0,1.0,0.0,1.0,1600.0,1488.0,1939.0,1,A5,543000,2019-12-18,queens,148-38 60TH AVENUE NYC
3,CANARSIE,01 ONE FAMILY DWELLINGS,1,8048,33,A5,1125 EAST 82ND STREET,11236.0,1.0,0.0,1.0,1600.0,1120.0,1960.0,1,A5,530000,2019-12-18,brooklyn,1125 EAST 82ND STREET NYC
3,EAST NEW YORK,02 TWO FAMILY DWELLINGS,1,3992,5,B2,123 MONTAUK AVENUE,11208.0,2.0,0.0,2.0,2000.0,1512.0,1901.0,1,B2,507000,2019-12-18,brooklyn,123 MONTAUK AVENUE NYC
4,FOREST HILLS,01 ONE FAMILY DWELLINGS,1,3191,27,A5,67-118 BURNS STREET,11375.0,1.0,0.0,1.0,1800.0,1224.0,1940.0,1,A5,791000,2019-09-12,queens,67-118 BURNS STREET NYC
4,SPRINGFIELD GARDENS,01 ONE FAMILY DWELLINGS,1,12992,44,A1,178-31 137TH AVENUE,11434.0,1.0,0.0,1.0,4000.0,1941.0,1925.0,1,A1,575000,2019-12-09,queens,178-31 137TH AVENUE NYC
4,MIDDLE VILLAGE,01 ONE FAMILY DWELLINGS,1,2994,40,A5,82-53 PENELOPE AVE,11379.0,1.0,0.0,1.0,2000.0,1638.0,1940.0,1,A5,880000,2019-10-18,queens,82-53 PENELOPE AVE NYC
4,SPRINGFIELD GARDENS,02 TWO FAMILY DWELLINGS,1,13336,50,B3,145-40 182ND STREET,11413.0,2.0,0.0,2.0,4200.0,2376.0,1950.0,1,B3,760000,2019-07-09,queens,145-40 182ND STREET NYC
2,CASTLE HILL/UNIONPORT,01 ONE FAMILY DWELLINGS,1,3608,59,A2,2065 HOMER AVENUE,10473.0,1.0,0.0,1.0,2250.0,1540.0,1960.0,1,A2,495000,2019-03-07,bronx,2065 HOMER AVENUE NYC
5,GREAT KILLS,01 ONE FAMILY DWELLINGS,1,5447,72,A5,374 GIFFORDS LANE,10308.0,1.0,0.0,1.0,1750.0,2005.0,1990.0,1,A5,417500,2019-07-30,statenisland,374 GIFFORDS LANE NYC
4,RICHMOND HILL,02 TWO FAMILY DWELLINGS,1,9563,3,B3,103-03 126TH STREET,11419.0,2.0,0.0,2.0,2400.0,1152.0,1920.0,1,B3,465000,2019-11-07,queens,103-03 126TH STREET NYC
4,SO. JAMAICA-BAISLEY PARK,01 ONE FAMILY DWELLINGS,1,11978,12,A1,114-14 148TH STREET,11436.0,1.0,0.0,1.0,2000.0,784.0,1930.0,1,A1,530000,2019-10-23,queens,114-14 148TH STREET NYC
4,FLUSHING-NORTH,01 ONE FAMILY DWELLINGS,1,5667,4,A0,53-41 196TH STREET,11365.0,1.0,0.0,1.0,4800.0,1206.0,1950.0,1,A0,900000,2019-09-16,queens,53-41 196TH STREET NYC
4,SPRINGFIELD GARDENS,02 TWO FAMILY DWELLINGS,1,12597,76,B3,17104 144TH AVENUE,11434.0,2.0,0.0,2.0,4000.0,1090.0,1910.0,1,B3,470000,2019-02-20,queens,17104 144TH AVENUE NYC
3,CANARSIE,02 TWO FAMILY DWELLINGS,1,8076,58,B9,1345 E. 85TH STREET,11236.0,2.0,0.0,2.0,2000.0,1832.0,1955.0,1,B9,534581,2019-07-23,brooklyn,1345 E. 85TH STREET NYC
5,NEW DORP,02 TWO FAMILY DWELLINGS,1,3643,41,B2,112 JACQUES AVENUE,10306.0,2.0,0.0,2.0,3500.0,2400.0,2019.0,1,B2,1058979,2019-12-23,statenisland,112 JACQUES AVENUE NYC
5,GREAT KILLS,01 ONE FAMILY DWELLINGS,1,5245,29,A1,19 HIGHMOUNT ROAD,10308.0,1.0,0.0,1.0,4155.0,1935.0,1930.0,1,A1,537000,2019-04-17,statenisland,19 HIGHMOUNT ROAD NYC
5,BULLS HEAD,01 ONE FAMILY DWELLINGS,1,1620,28,A5,29 LONGDALE STREET,10314.0,1.0,0.0,1.0,3241.0,1344.0,1975.0,1,A9,638600,2019-06-21,statenisland,29 LONGDALE STREET NYC
3,SUNSET PARK,02 TWO FAMILY DWELLINGS,1,759,66,B1,727 47TH STREET,11220.0,2.0,0.0,2.0,2003.0,2146.0,1920.0,1,B1,1472000,2019-09-30,brooklyn,727 47TH STREET NYC
4,SOUTH JAMAICA,01 ONE FAMILY DWELLINGS,1,12157,45,A2,153-17 111TH AVENUE,11433.0,1.0,0.0,1.0,1975.0,779.0,1950.0,1,A2,450000,2019-02-12,queens,153-17 111TH AVENUE NYC
5,NEW BRIGHTON,02 TWO FAMILY DWELLINGS,1,44,49,B2,219 BENZIGER AVENUE,10301.0,2.0,0.0,2.0,2500.0,2004.0,1920.0,1,B2,330000,2019-04-16,statenisland,219 BENZIGER AVENUE NYC
2,SCHUYLERVILLE/PELHAM BAY,02 TWO FAMILY DWELLINGS,1,4250,57,B1,2923 EAST 196 STREET,10461.0,2.0,0.0,2.0,1960.0,3040.0,1965.0,1,B1,550000,2019-05-20,bronx,2923 EAST 196 STREET NYC
3,MADISON,01 ONE FAMILY DWELLINGS,1,7327,21,A1,2036 EAST 23RD STREET,11229.0,1.0,0.0,1.0,2000.0,1484.0,1920.0,1,A1,755000,2019-07-31,brooklyn,2036 EAST 23RD STREET NYC
4,FAR ROCKAWAY,01 ONE FAMILY DWELLINGS,1,15573,115,A0,12-30A CAFFREY AVENUE,11691.0,1.0,0.0,1.0,4500.0,1017.0,1945.0,1,A0,812000,2019-02-13,queens,12-30A CAFFREY AVENUE NYC
3,PARK SLOPE SOUTH,02 TWO FAMILY DWELLINGS,1,1109,47,B9,123 WINDSOR PLACE,11215.0,2.0,0.0,2.0,1883.0,3328.0,1920.0,1,B9,307500,2019-11-26,brooklyn,123 WINDSOR PLACE NYC
5,WESTERLEIGH,01 ONE FAMILY DWELLINGS,1,1440,87,A2,381 LATHROP AVENUE,10302.0,1.0,0.0,1.0,3555.0,700.0,1950.0,1,A2,435000,2019-09-04,statenisland,381 LATHROP AVENUE NYC
4,SOUTH JAMAICA,01 ONE FAMILY DWELLINGS,1,10193,10,A1,164-52 NADAL PLACE,11433.0,1.0,0.0,1.0,2550.0,784.0,1925.0,1,A1,385320,2019-04-29,queens,164-52 NADAL PLACE NYC
4,RICHMOND HILL,01 ONE FAMILY DWELLINGS,1,9535,44,A1,11201 107TH AVENUE,11419.0,1.0,0.0,1.0,2500.0,1950.0,1930.0,1,A1,725000,2019-11-18,queens,11201 107TH AVENUE NYC
4,MIDDLE VILLAGE,01 ONE FAMILY DWELLINGS,1,3069,127,A2,79-14 JUNIPER VALLEY ROAD,11379.0,1.0,0.0,1.0,1742.0,952.0,1920.0,1,A2,525000,2019-09-06,queens,79-14 JUNIPER VALLEY ROAD NYC
3,FLATLANDS,01 ONE FAMILY DWELLINGS,1,7829,40,A2,1447 EAST 49TH STREET,11234.0,1.0,0.0,1.0,3045.0,2149.0,1960.0,1,A2,650000,2019-10-07,brooklyn,1447 EAST 49TH STREET NYC
2,THROGS NECK,02 TWO FAMILY DWELLINGS,1,5501,32,B1,176 KEARNEY AVE,10465.0,2.0,0.0,2.0,1800.0,1728.0,1950.0,1,B1,699000,2019-07-01,bronx,176 KEARNEY AVE NYC
3,FLATLANDS,01 ONE FAMILY DWELLINGS,1,7870,40,A1,4502 AVENUE M,11234.0,1.0,0.0,1.0,3000.0,2136.0,1920.0,1,A1,629663,2019-06-25,brooklyn,4502 AVENUE M NYC
4,MASPETH,02 TWO FAMILY DWELLINGS,1,2743,56,B2,6079 60TH ROAD,11378.0,2.0,0.0,2.0,2300.0,1804.0,1920.0,1,B2,375000,2019-10-15,queens,6079 60TH ROAD NYC
3,FLATBUSH-CENTRAL,02 TWO FAMILY DWELLINGS,1,5248,62,B1,66 KENILWORTH,11210.0,2.0,0.0,2.0,1730.0,2260.0,1901.0,1,B1,962500,2019-05-10,brooklyn,66 KENILWORTH NYC
5,GREAT KILLS,01 ONE FAMILY DWELLINGS,1,5116,2,A5,145 FIELDWAY AVENUE,10308.0,1.0,0.0,1.0,2400.0,1248.0,1965.0,1,A5,465000,2019-11-05,statenisland,145 FIELDWAY AVENUE NYC
3,BUSH TERMINAL,02 TWO FAMILY DWELLINGS,1,736,58,B9,253 45TH STREET,11220.0,2.0,0.0,2.0,1761.0,1680.0,1920.0,1,B9,999000,2019-05-13,brooklyn,253 45TH STREET NYC
5,MARINERS HARBOR,01 ONE FAMILY DWELLINGS,1,1165,96,A9,365 WALKER STREET,10303.0,1.0,0.0,1.0,2500.0,1102.0,1990.0,1,A9,360000,2019-10-25,statenisland,365 WALKER STREET NYC
